대여소번호,count
2715,92090
4217,85063
502,85025
207,80556
2102,79208
1210,74183
2177,67372
1153,66307
1911,65541
247,64729
230,61388
770,59701
2622,59620
2728,59463
2701,58396
3533,57098
272,54739
2608,54259
1124,54118
765,53865
1906,53758
1158,52850
2620,51163
113,50670
1160,50529
792,49731
4565,49038
565,48621
646,47398
1211,47260
1009,46910
4870,46136
769,45416
2173,45286
1637,45053
3798,44825
589,44495
785,44416
907,44339
1295,44089
262,43707
1112,43268
1125,43243
1166,42883
703,42235
1222,42201
3511,42165
1149,42058
1625,42039
2219,41908
1308,41788
1050,41770
1601,41674
3518,41628
708,41595
1044,41586
567,41389
602,41300
1653,41136
1152,41113
3569,41039
4571,40983
5052,40719
509,40514
202,40366
2721,39898
2183,39844
585,39761
3010,39531
1925,39240
1117,39127
228,38862
2002,38532
853,38443
1020,38357
746,38025
1167,38007
3541,37834
1264,37683
1985,37502
1008,37447
631,37299
431,37165
1019,36857
102,36774
1106,36658
361,36577
383,36504
2639,36086
240,36034
3571,35828
2919,35770
1721,35729
2262,35711
263,35668
726,35476
764,35457
3575,35445
1684,35261
3780,35175
3904,35058
2739,35045
3534,34973
1193,34802
3600,34782
3681,34781
2720,34740
931,34732
2744,34611
1674,34526
293,34340
4509,34307
1955,34296
797,34171
117,34169
787,34016
4029,33945
2708,33809
1608,33580
996,33564
1650,33517
2050,33470
283,33459
2717,33457
1867,33453
2646,33352
781,33335
1173,33335
1251,33258
4561,33228
259,33173
668,33118
3570,33014
734,32884
4233,32832
3680,32669
3501,32664
1184,32549
1191,32509
1293,32503
4574,32414
2824,32333
2109,32324
2621,32241
1209,32119
2641,31996
1157,31945
3002,31922
1569,31871
243,31785
147,31757
2704,31712
4865,31706
2733,31657
106,31598
276,31578
2623,31561
4027,31557
458,31548
245,31482
4508,31479
755,31461
1218,31445
634,31365
704,31351
583,31288
1024,31274
1610,31268
735,31198
906,31095
3559,31027
3509,31015
4864,30966
1182,30864
3668,30801
3514,30742
779,30599
4457,30526
551,30472
1611,30458
1118,30200
744,30174
1103,30158
144,30116
2921,30109
791,30090
1355,30042
2719,30037
1011,30017
549,30012
1197,29994
1232,29983
146,29955
103,29936
275,29931
3202,29893
648,29884
641,29883
2647,29863
268,29781
184,29726
4065,29714
2377,29714
1914,29708
419,29670
1297,29620
574,29562
1090,29424
914,29394
3881,29393
670,29263
1180,29102
1084,29013
1010,28972
659,28963
1078,28952
4531,28906
498,28905
568,28847
2632,28803
4515,28787
393,28722
1414,28722
4122,28702
795,28689
415,28576
3500,28552
1163,28480
1102,28474
2723,28461
1961,28457
236,28419
