대여소번호,count
2715,99973
4217,85310
502,82390
2102,76572
1153,75377
1210,72766
1911,69642
207,69263
2728,69027
230,67675
2177,66547
2701,62750
3533,59419
2608,58627
2622,57909
1906,57214
1961,55373
272,55155
1160,54360
247,54016
2620,53770
765,52331
1009,51495
1653,51001
792,50881
3798,50837
4870,50650
113,50306
583,50244
769,49752
4565,49389
770,49302
5768,48893
785,48391
589,48083
1124,47322
1166,46826
1625,46724
5858,46168
5052,46088
2721,46073
3569,45872
1601,45732
1019,45728
262,45421
1112,45421
4540,45335
3518,45249
1050,45137
1222,44867
565,44687
4179,44560
1158,44439
585,44306
5082,44298
1295,44008
1308,43878
1044,43802
1152,43791
1637,43571
3681,42614
4571,42519
1925,42391
602,42386
4029,42098
3534,41972
1149,41970
631,41543
1125,41343
1117,41009
907,40986
1867,40836
3511,40087
1008,39721
3010,39704
1650,39703
996,39667
853,39459
1264,39386
5306,39258
1684,39074
1721,38886
2219,38875
5854,38863
240,38760
567,38713
202,38595
361,38574
708,38404
3571,38294
228,38274
4574,38048
3780,38033
383,37969
781,37871
4457,37653
3680,37622
797,37485
263,37427
431,37423
746,37358
1985,37226
726,37222
1167,37198
4509,37138
931,37098
3575,37060
4561,36892
4065,36724
2919,36693
2639,36632
2262,36553
668,36537
1024,36529
2739,36524
1297,36298
1608,36098
2824,36063
2708,35958
3570,35956
1173,35900
3668,35815
1106,35778
779,35687
2717,35632
2002,35617
102,35601
1191,35551
646,35485
787,35387
243,35240
1011,35189
2641,35097
633,35042
4233,34949
2173,34851
3881,34749
293,34697
2183,34617
2646,34501
703,34475
648,34455
1293,34228
4481,34207
1084,34198
117,33991
670,33932
5862,33742
1010,33736
1184,33695
1414,33675
4508,33648
1569,33630
3219,33550
2704,33506
283,33450
1029,33370
734,33365
4865,33302
755,33255
731,33218
584,33178
1118,33125
795,33088
3559,33083
1251,33048
574,32995
529,32902
4864,32864
549,32836
2109,32754
2719,32664
4515,32489
1610,32481
704,32461
1163,32460
1209,32399
744,32391
1078,32387
1674,32282
906,32250
2050,32181
2723,32124
3514,32056
2623,31885
5074,31821
1193,31780
1218,31632
1150,31588
3600,31586
2720,31566
236,31470
3202,31461
1182,31449
2525,31309
2744,31306
147,31303
634,31219
3520,31216
245,31214
3002,31200
3509,31134
275,31098
1157,31088
1851,31050
1020,31019
1103,31014
2632,30966
2647,30952
259,30951
4868,30941
1662,30874
3772,30829
2621,30707
791,30701
1151,30698
4108,30550
458,30450
735,30447
146,30410
1180,30398
103,30362
3541,30354
5080,30335
106,30148
4531,30077
4027,30066
793,29992
1328,29987
1986,29972
551,29944
3664,29935
419,29920
1914,29838
788,29558
1244,29469
1355,29443
4452,29414
2730,29406
568,29385
144,29355
1447,29310
2637,29283
2015,29273
3542,29204
303,29183
4122,29170
184,29160
592,29099
1452,29064
1232,29046
1955,29038
2635,29031
217,28968
1663,28964
154,28875
512,28873
659,28806
613,28782
5061,28744
4553,28713
2628,28676
612,28667
514,28470
1655,28419
415,28417
268,28409
3784,28386
914,28381
1102,28364
4543,28288
1162,28282
2915,28267
183,28230
5752,28229
641,28151
2377,28005
4768,27955
630,27929
4514,27925
291,27866
1668,27859
1169,27796
3410,27758
4171,27757
2601,27699
1451,27670
3904,27661
393,27660
280,27653
1438,27648
3582,27639
342,27591
614,27555
1248,27548
497,27472
278,27336
1503,27327
213,27316
1122,27284
206,27279
1262,27257
498,27255
1611,27230
3504,27220
1197,27148
2615,27147
913,27107
4535,27035
1111,26983
1946,26963
560,26904
2264,26898
771,26888
370,26790
4382,26771
4897,26766
1531,26753
1643,26629
2611,26607
2921,26562
232,26518
5301,26392
870,26370
548,26286
1208,26231
1220,26228
3421,26139
794,26063
3536,26051
238,26005
3760,25964
219,25954
747,25934
4037,25909
4213,25899
905,25860
723,25849
1129,25776
3501,25773
2910,25750
1321,25727
1192,25685
1231,25683
1135,25637
474,25606
3513,25584
1235,25536
1458,25490
1455,25399
912,25319
2340,25297
1636,25266
825,25238
3579,25203
222,25194
2058,25185
1363,25093
588,25069
287,25061
1002,25050
4798,25049
3413,25043
505,25018
1127,24999
4041,24966
2606,24943
267,24919
133,24892
1442,24824
5064,24817
1201,24743
780,24707
3416,24675
209,24673
1013,24659
302,24650
1243,24641
1113,24567
418,24550
559,24520
308,24484
3671,24480
1904,24477
2742,24423
229,24342
5311,24333
1996,24330
1669,24329
2025,24327
1692,24210
643,24202
290,24191
114,24190
3758,24164
3500,24137
933,24105
226,24098
131,24049
362,24000
2733,23969
2619,23894
4007,23894
786,23872
227,23860
701,23832
1126,23831
3966,23815
1132,23791
2164,23779
1155,23771
1140,23759
2630,23753
2727,23731
417,23704
3586,23697
540,23673
3769,23660
4575,23608
296,23607
4594,23571
284,23566
768,23551
956,23551
678,23533
4564,23527
911,23521
421,23499
543,23498
3767,23452
1744,23447
660,23437
501,23434
153,23406
1908,23368
130,23280
546,23253
1462,23233
176,23221
576,23197
1535,23161
473,23144
5062,23142
1077,23120
224,23099
1988,23098
4486,23082
2176,23075
305,23032
573,23032
4765,23031
1332,23011
1656,22971
2713,22951
623,22923
702,22899
500,22897
1090,22856
1351,22851
1742,22777
4408,22777
3212,22713
3422,22677
1278,22675
1268,22661
487,22639
1168,22630
4373,22618
508,22608
1076,22558
414,22555
316,22538
1190,22534
5866,22524
2740,22520
3548,22516
1128,22498
1688,22497
4169,22481
2255,22474
3517,22447
2613,22415
3581,22376
3560,22375
4353,22362
1512,22337
3914,22271
1683,22234
582,22184
244,22033
231,22032
1448,22027
3890,22017
3657,21965
2140,21957
123,21945
1354,21915
1449,21908
5095,21905
1023,21902
1912,21891
5070,21871
4218,21837
3759,21823
1616,21817
754,21733
3506,21686
1226,21679
829,21636
5087,21623
4036,21615
841,21591
3757,21585
2718,21573
4013,21566
4484,21550
1017,21498
1977,21479
561,21442
2732,21437
107,21410
2707,21408
1689,21402
409,21399
1446,21394
2741,21389
719,21370
587,21330
3868,21276
3415,21272
4893,21252
186,21247
1657,21246
1619,21225
1762,21209
1337,21183
509,21172
2729,21166
481,21117
2618,21115
225,21030
3778,20974
368,20931
3785,20905
1901,20894
3119,20891
1215,20873
577,20830
796,20821
1306,20819
1199,20810
1221,20765
1172,20742
3754,20717
1602,20704
4418,20697
2306,20691
3205,20686
3905,20679
1269,20640
626,20615
363,20545
4377,20522
2222,20504
1195,20504
1381,20494
4220,20460
2737,20459
237,20442
1661,20428
2032,20421
4527,20414
2735,20411
3549,20404
1177,20391
4813,20359
194,20357
4104,20356
716,20348
4685,20345
1282,20333
1246,20312
1416,20278
255,20211
252,20193
1204,20138
2913,20112
657,20061
1737,20061
642,20043
249,20039
2908,20030
4453,20027
4008,19976
1028,19966
5066,19959
2702,19955
1075,19941
2231,19884
1022,19852
2013,19834
3515,19814
1964,19795
258,19786
816,19786
203,19782
1690,19781
3811,19778
205,19759
279,19752
729,19741
539,19694
1933,19670
1691,19648
157,19637
4003,19630
493,19619
3009,19618
1259,19610
2106,19596
4566,19594
4332,19573
1827,19530
4859,19520
2107,19517
590,19503
2384,19483
1401,19482
1380,19482
4592,19482
2067,19479
1119,19472
4020,19466
4465,19463
4560,19447
2909,19435
4598,19433
4483,19426
265,19403
3794,19400
108,19391
374,19377
1667,19370
4804,19365
2175,19338
1529,19307
1830,19292
1957,19287
635,19283
1530,19282
915,19273
4381,19263
4076,19247
1824,19246
2505,19228
578,19221
104,19218
593,19209
1227,19203
1958,19192
3656,19185
1471,19183
542,19154
4464,19142
4522,19082
2301,19075
1001,19042
1141,19022
2000,19021
2746,19006
4121,18965
3882,18941
3698,18879
4383,18857
1677,18845
