구분,장소 설명,위도,경도
서울 송파구14,서울 송파구 방이동(친절한약국 부근),37.5147,127.1182
서울 송파구15,서울 송파구 문정동(올림픽훼밀리타운교차로 부근),37.49,127.1246
서울 송파구16,서울 송파구 방이동(둔촌사거리 부근),37.5273,127.1363
서울 송파구17,서울 송파구 마천동(마천파출소 부근),37.4975,127.1477
서울 송파구18,서울 송파구 방이동(방이사거리 부근),37.5085,127.1158
서울 송파구19,서울 송파구 풍납동(정 부근),37.5283,127.1185
서울 송파구20,서울 송파구 방이동(송파구청교차로 부근),37.5159,127.1066
서울 송파구21,서울 송파구 거여동(꼬마숲어린이집 거여우방점 부근),37.4939,127.1432
서울 강동구1,서울 강동구 천호동(천호시장교차로 부근),37.5408,127.1264
서울 강동구2,서울 강동구 고덕동(상일동역사거리 부근),37.5563,127.1661
서울 강동구3,서울 강동구 길동(길동사거리 부근),37.5359,127.1418
서울 강동구4,서울 강동구 암사동(656 부근),37.5539,127.1326
서울 강동구5,서울 강동구 성내동(별미아구찜동태탕 부근),37.5255,127.1325
서울 강동구6,서울 강동구 천호동(강동역 5호선 부근),37.5358,127.1324
