대여소번호,count
1004,12598
3407,12592
626,12566
1455,12545
4213,12543
1552,12537
252,12528
674,12523
3668,12492
1128,12438
104,12436
3011,12432
768,12430
1028,12425
700,12407
3680,12404
4122,12390
3905,12384
1146,12384
1501,12379
1535,12370
1767,12369
2707,12353
4864,12311
2384,12273
747,12222
4007,12219
2629,12212
326,12211
3548,12209
265,12201
255,12200
1657,12197
2070,12191
2737,12182
815,12179
546,12177
678,12156
1762,12154
1690,12147
3422,12135
961,12112
1141,12110
111,12110
756,12101
128,12099
212,12097
2252,12094
4003,12066
3582,12066
3124,12057
201,12056
627,12054
1226,12051
109,12026
1414,12014
3214,12007
4710,12007
2335,11992
543,11981
1139,11973
650,11967
2908,11959
1404,11957
1462,11953
3794,11951
2104,11935
1446,11923
390,11905
286,11904
1121,11902
3796,11888
2732,11874
1362,11873
701,11864
124,11856
2306,11848
642,11844
1478,11838
615,11830
2231,11809
143,11808
758,11803
834,11802
248,11796
4486,11781
511,11771
220,11770
3549,11723
2606,11714
374,11695
1390,11694
2007,11689
1958,11684
264,11618
1956,11613
166,11582
1245,11575
2175,11554
1960,11551
1471,11549
1431,11536
1908,11532
1224,11532
1227,11524
2648,11508
301,11507
2032,11484
215,11480
1983,11476
1667,11471
1705,11452
178,11442
1957,11432
1402,11427
605,11412
558,11407
398,11391
1670,11389
1171,11360
1177,11358
1716,11341
1333,11314
2105,11308
537,11298
838,11284
530,11281
525,11254
529,11231
1170,11224
219,11194
3534,11192
2279,11178
4008,11164
675,11147
4813,11146
658,11143
1450,11129
473,11114
1269,11101
2179,11100
1375,11076
2169,11050
516,11048
2067,11025
3432,11018
4013,11011
380,11007
1707,11002
2727,10997
2505,10992
1931,10976
1190,10969
657,10964
165,10964
2115,10961
2054,10960
1639,10958
507,10919
369,10918
763,10907
2247,10898
1204,10884
1841,10883
716,10878
1113,10877
346,10874
310,10870
989,10870
1411,10868
581,10857
1075,10841
288,10831
1359,10828
1620,10813
412,10808
1514,10806
300,10797
4484,10795
1338,10784
4796,10780
4765,10768
2108,10759
1440,10755
1385,10742
492,10727
1933,10720
4859,10720
1372,10716
849,10699
2016,10692
1327,10691
214,10678
433,10675
4514,10665
4870,10664
2056,10617
1920,10614
1318,10606
1416,10599
1174,10598
254,10580
329,10563
327,10561
578,10559
2711,10550
832,10546
181,10545
1952,10542
2119,10534
3760,10518
916,10515
1830,10504
1533,10489
590,10487
557,10483
3756,10466
411,10456
4077,10455
334,10451
1168,10444
740,10412
2187,10410
3754,10409
1185,10402
1473,10402
3578,10401
368,10401
592,10395
908,10389
1804,10381
387,10380
2702,10344
739,10336
513,10330
2741,10316
1743,10315
2244,10312
2407,10309
3573,10294
231,10293
4104,10289
1691,10249
917,10236
4531,10235
1966,10234
4108,10229
1108,10187
4574,10181
4868,10179
2294,10176
341,10173
1962,10163
1984,10139
1396,10139
4465,10138
1975,10133
3966,10112
1506,10109
239,10103
1249,10095
1602,10085
1205,10083
3220,10082
3664,10035
2003,10023
633,10020
1267,10011
1677,10000
2530,9982
826,9978
2112,9971
1974,9969
1437,9963
4210,9955
625,9933
958,9932
1606,9932
1274,9930
292,9928
2710,9927
1565,9920
2412,9918
984,9905
617,9900
3560,9891
4114,9888
2508,9881
4453,9881
1403,9880
3544,9880
1959,9876
1271,9873
1334,9866
3007,9866
461,9858
800,9856
1470,9856
1941,9849
577,9849
1260,9844
395,9823
1444,9818
456,9817
400,9798
105,9789
454,9778
2221,9774
1666,9771
3550,9759
420,9730
2658,9710
2211,9701
320,9700
4559,9699
2644,9690
1733,9686
309,9680
1305,9679
314,9679
1088,9678
345,9675
819,9671
3128,9668
669,9663
1061,9651
437,9649
2111,9640
1994,9640
2746,9637
490,9632
4792,9626
339,9621
281,9619
553,9618
375,9615
266,9615
3775,9612
2821,9604
1322,9603
1907,9601
2033,9597
2303,9583
