구분,장소 설명,위도,경도
서울특별시 종로구1,서울특별시 종로구 적선동(적선현대빌딩 부근),37.5753,126.9739
서울특별시 종로구2,서울특별시 종로구 인의동(종로4가사거리 부근),37.571,126.9975
서울특별시 종로구3,서울특별시 종로구 서린동(종로구청입구교차로 부근),37.5701,126.9793
서울특별시 용산구1,서울특별시 용산구 서빙고동(반포대교북측 부근),37.5212,126.9961
서울특별시 용산구2,서울특별시 용산구 한남동(한남역앞 부근),37.5332,127.0203
서울특별시 용산구3,서울특별시 용산구 이촌동(한강대교북측 부근),37.5186,126.9538
서울특별시 성동구1,서울특별시 성동구 성수동1가(서울숲역4번출구 부근),37.5451,127.0445
서울특별시 성동구2,서울특별시 성동구 옥수동(용산구성동구 부근),37.5411,127.0211
서울특별시 성동구3,서울특별시 성동구 하왕십리동(청계9가사거리 부근),37.5704,127.0315
서울특별시 성동구4,서울특별시 성동구 금호동4가(금호삼거리 부근),37.5501,127.0211
서울특별시 성동구5,서울특별시 성동구 성수동2가(대보빌라 부근),37.5422,127.0601
서울특별시 성동구6,서울특별시 성동구 성수동2가(해성자동차공업사입구 부근),37.5463,127.0607
서울특별시 성동구7,서울특별시 성동구 성수동1가(성수여중 부근),37.5508,127.0425
서울특별시 성동구8,서울특별시 성동구 성수동2가(화양4거리 부근),37.5458,127.066
서울특별시 광진구1,서울특별시 광진구 군자동(능동119안전센터 부근),37.5574,127.076
서울특별시 광진구2,서울특별시 광진구 자양동(잠실대교북측 부근),37.5303,127.0911
서울특별시 광진구3,서울특별시 광진구 구의동(잠실철교 부근),37.5298,127.0984
서울특별시 광진구4,서울특별시 광진구 자양동(자양유아원 부근),37.5323,127.0782
서울특별시 광진구5,서울특별시 광진구 구의동(아차산역사거리 부근),37.5528,127.0898
서울특별시 광진구6,서울특별시 광진구 중곡동(신성시장 부근),37.5647,127.0874
서울특별시 광진구7,서울특별시 광진구 자양동(아리랑하우스입구 부근),37.5323,127.0782
서울특별시 동대문구1,서울특별시 동대문구 신설동(청계8가사거리 부근),37.5724,127.0253
서울특별시 동대문구2,서울특별시 동대문구 제기동(경동시장앞교차로 부근),37.5794,127.0392
서울특별시 동대문구3,서울특별시 동대문구 휘경동(중랑교사거리 부근),37.5878,127.0655
서울특별시 동대문구4,서울특별시 동대문구 용두동(용두교 부근),37.5746,127.0374
서울특별시 동대문구5,서울특별시 동대문구 장안동(승용빌딩 부근),37.576,127.0725
서울특별시 동대문구6,서울특별시 동대문구 답십리동(답십리역교차로 부근),37.5684,127.0531
서울특별시 동대문구7,서울특별시 동대문구 용두동(대원빌딩 부근),37.5772,127.0354
서울특별시 동대문구8,서울특별시 동대문구 답십리동(촬영소사거리 부근),37.5714,127.0617
서울특별시 동대문구9,서울특별시 동대문구 답십리동(장안시장 부근),37.5701,127.0673
서울특별시 동대문구10,서울특별시 동대문구 답십리동(동대문중사거리 부근),37.567,127.0601
서울특별시 동대문구11,서울특별시 동대문구 장안동(장안동삼거리 부근),37.5774,127.0664
서울특별시 동대문구12,서울특별시 동대문구 전농동(청량리역교차로 부근),37.5801,127.0483
서울특별시 동대문구13,서울특별시 동대문구 청량리동(동서울농협홍릉지점 부근),37.587,127.0435
서울특별시 중랑구1,서울특별시 중랑구 면목동(장안교앞 부근),37.5815,127.0792
서울특별시 중랑구2,서울특별시 중랑구 상봉동(동일로지하차도앞교차 부근),37.5921,127.0863
서울특별시 중랑구3,서울특별시 중랑구 중화동(이화교 부근),37.5954,127.0747
서울특별시 중랑구4,서울특별시 중랑구 상봉동(중랑전화국앞교차로 부근),37.5939,127.0924
서울특별시 중랑구5,서울특별시 중랑구 묵동(면목교 부근),37.587,127.0801
서울특별시 중랑구6,서울특별시 중랑구 중화동(중화장미아파트 부근),37.5983,127.0805
서울특별시 중랑구7,서울특별시 중랑구 중화동(동부시장사거리 부근),37.5939,127.0827
서울특별시 중랑구8,서울특별시 중랑구 중화동(중흥초교 부근),37.6053,127.0784
서울특별시 중랑구9,서울특별시 중랑구 면목동(면목교 부근),37.587,127.0801
서울특별시 중랑구10,서울특별시 중랑구 묵동(묵동우체국 부근),37.6101,127.0788
서울특별시 중랑구11,서울특별시 중랑구 상봉동(상봉지하차도앞교차로 부근),37.5981,127.0906
서울특별시 중랑구12,서울특별시 중랑구 면목동(사가정역앞교차로 부근),37.5828,127.0877
서울특별시 중랑구13,서울특별시 중랑구 면목동(태영빌딩 부근),37.5825,127.0945
서울특별시 성북구1,서울특별시 성북구 석관동(새석관시장 부근),37.6049,127.0594
서울특별시 성북구2,서울특별시 성북구 장위동(장위사거리 부근),37.6102,127.0558
서울특별시 성북구3,서울특별시 성북구 상월곡동(하월곡IC 부근),37.6062,127.0435
서울특별시 성북구4,서울특별시 성북구 종암동(종암사거리 부근),37.5957,127.036
서울특별시 강북구1,서울특별시 강북구 수유동(강북구청사거리 부근),37.6385,127.0256
서울특별시 강북구2,서울특별시 강북구 미아동(수유치과의원 부근),37.6322,127.0261
서울특별시 강북구3,서울특별시 강북구 수유동(만능카종합공업사 부근),37.6432,127.0202
서울특별시 강북구4,서울특별시 강북구 수유동(광산사거리 부근),37.6418,127.025
서울특별시 강북구5,서울특별시 강북구 번동(번동사거리 부근),37.6256,127.0396
서울특별시 도봉구1,서울특별시 도봉구 창동(정의여중고교입구교차 부근),37.6465,127.0428
서울특별시 도봉구2,서울특별시 도봉구 창동(창동변전소 부근),37.6533,127.0487
서울특별시 도봉구3,서울특별시 도봉구 쌍문동(동아운수에너지주유소 부근),37.6534,127.0336
서울특별시 노원구1,서울특별시 노원구 공릉동(월릉교 부근),37.6186,127.0722
서울특별시 노원구2,서울특별시 노원구 중계동(태흥약국 부근),37.6477,127.0763
서울특별시 노원구3,서울특별시 노원구 상계동(도봉구노원구 부근),37.6661,127.0559
서울특별시 노원구4,서울특별시 노원구 상계동(상계교교차로 부근),37.6653,127.056
서울특별시 노원구5,서울특별시 노원구 공릉동(공릉역사거리 부근),37.6259,127.0728
서울특별시 노원구6,서울특별시 노원구 상계동(상계초교앞교차로 부근),37.6713,127.0674
서울특별시 노원구7,서울특별시 노원구 중계동(당고개입구오거리 부근),37.6698,127.0764
서울특별시 노원구8,서울특별시 노원구 월계동(석계역3번출구 부근),37.6162,127.0658
서울특별시 노원구9,서울특별시 노원구 상계동(상계67동주민센터앞교N 부근),37.676,127.0734
서울특별시 노원구10,서울특별시 노원구 중계동(청암고교앞교차로 부근),37.6535,127.0792
서울특별시 노원구11,서울특별시 노원구 중계동(노해근린공원앞교차로 부근),37.6537,127.07
서울특별시 노원구12,서울특별시 노원구 공릉동(안성민치과의원 부근),37.6259,127.0728
서울특별시 은평구1,서울특별시 은평구 역촌동(역말사거리 부근),37.6047,126.908
서울특별시 은평구2,서울특별시 은평구 역촌동(신사오거리 부근),37.5925,126.9087
서울특별시 은평구3,서울특별시 은평구 응암동(서운빌딩 부근),37.5954,126.9178
서울특별시 은평구4,서울특별시 은평구 응암동(새절역앞교차로 부근),37.5855,126.9135
서울특별시 은평구5,서울특별시 은평구 갈현동(구산역앞교차로 부근),37.6111,126.9171
서울특별시 서대문구1,서울특별시 서대문구 북가좌동(북가좌오거리 부근),37.575,126.9113
서울특별시 서대문구2,서울특별시 서대문구 북가좌동(고려가정의학과의원 부근),37.575,126.9113
서울특별시 마포구1,서울특별시 마포구 중동(증산지하차도남측 부근),37.5794,126.9068
서울특별시 마포구2,서울특별시 마포구 망원동(망원2주민센터 부근),37.5562,126.909
서울특별시 마포구3,서울특별시 마포구 합정동(합정역7번출구 부근),37.5501,126.9146
서울특별시 양천구1,서울특별시 양천구 신정동(홍익병원앞교차로 부근),37.5338,126.8524
서울특별시 양천구2,서울특별시 양천구 신월동(동방APT앞 부근),37.5251,126.8373
서울특별시 양천구3,서울특별시 양천구 목동(CBS방송국 부근),37.5273,126.8778
서울특별시 양천구4,서울특별시 양천구 신정동(이화빌딩 부근),37.5222,126.853
서울특별시 양천구5,서울특별시 양천구 신월동(강월초교입구교차로 부근),37.5385,126.8341
서울특별시 양천구6,서울특별시 양천구 신정동(목동9단지 부근),37.5262,126.8732
서울특별시 양천구7,서울특별시 양천구 신월동(신월사거리 부근),37.5298,126.8398
서울특별시 양천구8,서울특별시 양천구 신정동(신정동1093 부근),37.5186,126.8594
서울특별시 양천구9,서울특별시 양천구 신월동(신월IC 부근),37.5401,126.8322
서울특별시 양천구10,서울특별시 양천구 신월동(선창빌딩앞 부근),37.5283,126.8354
서울특별시 강서구1,서울특별시 강서구 화곡동(동서파크빌라 부근),37.5512,126.8504
서울특별시 강서구2,서울특별시 강서구 마곡동(신방화역교차로 부근),37.5684,126.8173
서울특별시 강서구3,서울특별시 강서구 화곡동(화곡역사거리 부근),37.5413,126.8402
서울특별시 강서구4,서울특별시 강서구 마곡동(진에어앞 부근),37.563,126.8291
서울특별시 강서구5,서울특별시 강서구 마곡동(마곡동727816 부근),37.563,126.8291
서울특별시 구로구1,서울특별시 구로구 신도림동(신정교교차로 부근),37.5097,126.876
서울특별시 구로구2,서울특별시 구로구 구로동(영서중 부근),37.4988,126.8839
서울특별시 구로구3,서울특별시 구로구 가리봉동(가산동교차로 부근),37.4811,126.8884
서울특별시 구로구4,서울특별시 구로구 구로동(구로시장 부근),37.4938,126.8906
서울특별시 구로구5,서울특별시 구로구 개봉동(개봉사거리 부근),37.4871,126.856
서울특별시 구로구6,서울특별시 구로구 고척동(구로구광명시 부근),37.4907,126.8488
서울특별시 구로구7,서울특별시 구로구 구로동(구로구청구의회앞교차 부근),37.4965,126.8863
서울특별시 금천구1,서울특별시 금천구 독산동(평강교회 부근),37.4725,126.8986
서울특별시 금천구2,서울특별시 금천구 가산동(구로아파트 부근),37.48,126.8885
서울특별시 영등포구1,서울특별시 영등포구 대림동(우성아파트앞교차로 부근),37.4925,126.9069
서울특별시 영등포구2,서울특별시 영등포구 당산동(당산지하차도북측 부근),37.5273,126.9016
서울특별시 영등포구3,서울특별시 영등포구 대림동(대림공원교차로 부근),37.4952,126.908
서울특별시 영등포구4,서울특별시 영등포구 당산동1가(영등포청과시장앞교차 부근),37.5255,126.9103
서울특별시 영등포구5,서울특별시 영등포구 당산동5가(염창교 부근),37.5447,126.8821
서울특별시 영등포구6,서울특별시 영등포구 여의도동(영등포고가차도 부근),37.519,126.9208
서울특별시 영등포구7,서울특별시 영등포구 당산동3가(영등포구청앞교차로 부근),37.5262,126.8964
서울특별시 영등포구8,서울특별시 영등포구 당산동(롯데1급정비공장 부근),37.5292,126.8924
서울특별시 영등포구9,서울특별시 영등포구 양화동(한강자전거대여소양화 부근),37.5385,126.901
서울특별시 영등포구10,서울특별시 영등포구 신길동(신길성락주유소앞교차 부근),37.5029,126.9141
서울특별시 영등포구11,서울특별시 영등포구 양평동1가(양남사거리 부근),37.5218,126.889
서울특별시 영등포구12,서울특별시 영등포구 양평동5가(롯데푸드본사 부근),37.5246,126.886
서울특별시 영등포구13,서울특별시 영등포구 영등포동7가(영등포경찰서사거리 부근),37.5226,126.916
서울특별시 영등포구14,서울특별시 영등포구 영등포동7가(영등포시장역앞교차로 부근),37.5222,126.911
서울특별시 영등포구15,서울특별시 영등포구 양평동(오목교 부근),37.5241,126.8795
서울특별시 영등포구16,서울특별시 영등포구 여의도동(여의중고교앞교차로 부근),37.519,126.9298
서울특별시 영등포구17,서울특별시 영등포구 양평동(세종엔까뮤스퀘어 부근),37.5218,126.889
서울특별시 영등포구18,서울특별시 영등포구 여의도동(여의하류IC 부근),37.5312,126.9167
서울특별시 영등포구19,서울특별시 영등포구 대림동(도림청구아파트 부근),37.502,126.9009
서울특별시 영등포구20,서울특별시 영등포구 도림동(도림사거리 부근),37.5057,126.8953
서울특별시 영등포구21,서울특별시 영등포구 신길동(영신고교입구 부근),37.5097,126.9142
서울특별시 동작구1,서울특별시 동작구 신대방동(대림사거리 부근),37.4907,126.9103
서울특별시 동작구2,서울특별시 동작구 본동(한강대교남단교차로 부근),37.5186,126.9538
서울특별시 동작구3,서울특별시 동작구 사당동(이수역앞교차로 부근),37.4851,126.9823
서울특별시 동작구4,서울특별시 동작구 노량진동(중앙학원 부근),37.5132,126.9423
서울특별시 관악구1,서울특별시 관악구 신림동(강남우신병원 부근),37.4854,126.9106
서울특별시 서초구1,서울특별시 서초구 방배동(만남의광장 부근),37.4913,127.0057
서울특별시 강남구1,서울특별시 강남구 자곡동(자곡사거리 부근),37.4727,127.1039
서울특별시 강남구2,서울특별시 강남구 삼성동(강남운전면허시험장 부근),37.5134,127.0694
서울특별시 강남구3,서울특별시 강남구 수서동(수서역앞교차로 부근),37.4872,127.1017
서울특별시 강남구4,서울특별시 강남구 압구정동(동호대교JC 부근),37.5303,127.0227
서울특별시 강남구5,서울특별시 강남구 대치동(우석빌딩 부근),37.4984,127.0592
서울특별시 송파구1,서울특별시 송파구 거여동(거여동사거리 부근),37.494,127.1415
서울특별시 송파구2,서울특별시 송파구 삼전동(삼전사거리 부근),37.5015,127.0863
서울특별시 송파구3,서울특별시 송파구 방이동(둔촌사거리 부근),37.5273,127.1363
서울특별시 송파구4,서울특별시 송파구 잠실동(잠실새내역교차로 부근),37.5113,127.0862
서울특별시 송파구5,서울특별시 송파구 가락동(경찰병원앞교차로 부근),37.4947,127.125
서울특별시 송파구6,서울특별시 송파구 신천동(잠실대교남측 부근),37.5197,127.1032
서울특별시 송파구7,서울특별시 송파구 잠실동(석촌호수서호사거리 부근),37.5085,127.0984
서울특별시 송파구8,서울특별시 송파구 잠실동(잠실여름파출소 부근),37.5193,127.08
서울특별시 송파구9,서울특별시 송파구 방이동(잠실진주아파트앞교차 부근),37.5152,127.1147
서울특별시 송파구10,서울특별시 송파구 석촌동(석촌역사거리 부근),37.5052,127.1065
서울특별시 송파구11,서울특별시 송파구 석촌동(배명사거리 부근),37.4989,127.0982
서울특별시 송파구12,서울특별시 송파구 석촌동(동산교회 부근),37.5042,127.1042
서울특별시 송파구13,서울특별시 송파구 잠실동(잠전초교입구 부근),37.5082,127.0867
서울특별시 송파구14,서울특별시 송파구 신천동(잠실대교JC 부근),37.5197,127.1032
서울특별시 송파구15,서울특별시 송파구 송파동(신도빌딩 부근),37.5034,127.113
서울특별시 송파구16,서울특별시 송파구 송파동(가락시장 부근),37.4925,127.1182
서울특별시 송파구17,서울특별시 송파구 삼전동(잠실학원사거리 부근),37.5029,127.0837
서울특별시 송파구18,서울특별시 송파구 잠실동(잠실대교JC 부근),37.5197,127.1032
서울특별시 송파구19,서울특별시 송파구 송파동(방이동고분군앞교차로 부근),37.5065,127.1158
서울특별시 송파구20,서울특별시 송파구 가락동(가락시장역앞교차로 부근),37.4925,127.1182
서울특별시 송파구21,서울특별시 송파구 가락동(탄천교앞교차로 부근),37.4941,127.1017
서울특별시 송파구22,서울특별시 송파구 잠실동(잠실3사거리 부근),37.5132,127.0934
서울특별시 송파구23,서울특별시 송파구 가락동(가락시장입구교차로 부근),37.495,127.1171
서울특별시 송파구24,서울특별시 송파구 잠실동(청담IC 부근),37.519,127.0699
서울특별시 송파구25,서울특별시 송파구 석촌동(송파사거리 부근),37.5068,127.1121
서울특별시 송파구26,서울특별시 송파구 잠실동(탄천2교앞교차로 부근),37.5074,127.0707
서울특별시 송파구27,서울특별시 송파구 오금동(송파경찰서앞교차로 부근),37.5031,127.1252
서울특별시 강동구1,서울특별시 강동구 천호동(천호사거리 부근),37.5383,127.1251
서울특별시 강동구2,서울특별시 강동구 천호동(광나루안내센터앞 부근),37.5457,127.1202
서울특별시 강동구3,서울특별시 강동구 길동(천동초교 부근),37.5372,127.1408
서울특별시 강동구4,서울특별시 강동구 천호동(천일초교교차로 부근),37.5459,127.1354
서울특별시 강동구5,서울특별시 강동구 성내동(영파여중고앞교차로 부근),37.5272,127.1293
서울특별시 강동구6,서울특별시 강동구 성내동(길동시장 부근),37.5358,127.1402
